username,userid,profile_location,created_at,text,retweet_count,source,coordinates,,
steven,1455816331,"Portland, OR",1/23/2023 1:15,@embryosophy @nobuhojimichaan happy new year! üêá,0,Twitter for Android,,,
Eric Mock,3419263097,"Portland, OR",1/23/2023 1:14,The Milwaukie Community Center was PACKED Sunday when hundreds came out to see performers at their Lunar New Year f‚Ä?https://t.co/EpUV9q1YJQ,0,Twitter for iPhone,,,
Tron Basic,90741971,Beaverton OR,1/23/2023 0:58,It's been a rough start to the new year.,0,Twitter for iPhone,,,
American Events,376391967,"Portland, Oregon",1/23/2023 0:54,We wish you all a very happy lunar new year! https://t.co/5cWmXzKY9s,0,LinkedIn,,,
Zray! üöÇüí® @ ANE DD19,3374281678,"Portland, OR",1/23/2023 0:39,ANE will absolutely become a new con on my roster schedule ‚Ä?the best team around to run everything smoothly and ju‚Ä?https://t.co/Y6uip5lyys,0,Twitter for iPad,,,
wishapickmmallen,3805687752,"Lake Oswego, OR",1/23/2023 0:37,Celebrating Chinese New Year at the fitness club. The young boys inside the dragon's quite acrobatic. Happy year of‚Ä?https://t.co/FuBrN3RBiG,0,Twitter for Android,,,
FOX 12 Oregon,15564045,"Beaverton, OR",1/23/2023 0:30,"UPDATE: Authorities swarm van possibly linked to California shooting
 https://t.co/FkUEySYl33",0,SocialNewsDesk,,,
Beau,34826122,Portland,1/23/2023 0:27,Celebrating Lunar New Year https://t.co/iNLcc6cqDj,0,Twitter for iPhone,,,
Wes Wedding,2385692497,"Portland, OR",1/23/2023 0:25,"Got distracted by the Atlanta stuff going on and I missed it earlier, but 20 people got shot today at a Lunar New Y‚Ä?https://t.co/UPwi681reD",0,Twitter Web App,,,
Kurt Norman,179283753,"West Linn, OR",1/23/2023 0:24,Now is not the time to put your data and network at risk. A new year means new #Cybersecurity dangers. This guide t‚Ä?https://t.co/abdEqQ6isW,0,Dynamic Signal,,,
(‡∏á‚ÄôÃÄ-‚ÄòÃ?‡∏?60190682,"Portland, OR",1/23/2023 0:15,happy lunar new year !! year of the cat üê±üêàüíõ https://t.co/KATX43OfGW‚Ä?https://t.co/DPf8xsZERk,1,Twitter for iPhone,,,,
Jonathan H. Liu @xoxo.zone,28501665,"Portland, Oregon",1/23/2023 0:14,"Making new year cake (nian gao) is one of the only Lunar New Year traditions I have. I always think to myself, I co‚Ä?https://t.co/dZbmd5ucB0",0,Twitter for iPhone,,,
The Oregonian,2992751,"Portland, Oregon",1/22/2023 23:53,Latest on LA shooting: 10 dead at Lunar New Year celebration; 2nd dance club targeted https://t.co/RSuCoLdh6C,2,SocialNewsDesk,,,
Grant,146662502,"Portland, OR",1/22/2023 23:48,Nobody told Brock Purdy about wearing 13 on Lunar New Year‚Ä?Cowboys in 6,0,Twitter for iPhone,,,
Chanchai,37149496,"Portland OR, USA",1/22/2023 23:29,Happy Chinese New Year!  See you all at the tourney! https://t.co/LdxZAZ61ds,0,Twitter for iPad,,,
Shigby Co.,1703090023,"Portland, OR",1/22/2023 23:25,"Happy Lunar New Year! Wishing you a great and prosperous year! üêáüéá

#illustration #graphicdesign #posterdesign https://t.co/O6o5ehhtLD",0,Twitter Web App,,,
Portland: Neighbors Welcome,1.15887E+18,"Portland, OR",1/22/2023 23:25,PNW board member @candaceforpdx has her monthly column in the @Oregonian this weekend - and she sneaks in a shoutou‚Ä?https://t.co/tyAK9Bb3nF,1,TweetDeck,,,
PDXToTheWorld,1.57934E+18,"Portland, Oregon",1/22/2023 23:25,Happy Lunar New Year!! üßßü•°ü•¢ü•†ü•Æ,0,Twitter for iPhone,,,
Travel Portland,15224275,"Portland, OR",1/22/2023 23:23,"For Lunar New Year, White Lotus Lion Dance Team is ready to bring you good luck: https://t.co/jXUxpkRxb2 (via‚Ä?https://t.co/8zZem3sq6O",0,Twitter Web App,,,
peek,632599675,"Portland, OR",1/22/2023 23:09,Despite the cats eating it occasionally this plant appears to be thriving after like a year of not doing much. It‚Äôs‚Ä?https://t.co/bOQbZDMCMx,0,Twitter for iPhone,,,
Arie,1.47414E+18,"Portland, OR",1/22/2023 23:06,It‚Äôs Lunar New Year üßß https://t.co/ZmKoIOA3xq,0,Twitter for iPhone,,,
Scott Kerman,899049012,"Portland, OR",1/22/2023 23:01,Wishing Lan Su Garden @chinesegarden a Happy Lunar New Year! Lots of great ways to ring in the Year of the Rabbit a‚Ä?https://t.co/Q4eTBiouZA,0,Twitter for iPhone,,,
Beaverton Farmers Market,35007816,"Beaverton, Oregon",1/22/2023 23:00,"Happy Lunar New Year, the year of Water Rabbit! May the Rabbit bring you luck, prosperity and peace this year. üê∞‚Ä?https://t.co/CazAk0NImx",0,Loomly,,,
Scott Kerman,899049012,"Portland, OR",1/22/2023 23:00,Wishing Lan Su Garden @chinesegarden a Happy Lunar New Year! Lots of great ways to ring in the Year of the Rabbit a‚Ä?https://t.co/FHLzvoveuP,0,Twitter for iPhone,,,
"Jennifer Huang, MD Èª?Âø?Âπ?üè≥Ô∏è‚Äçüå?,51632628,Portland"," OR""",1/22/2023 22:57,Happy Lunar New Year All! #YearOfTheRabbit üêá https://t.co/AnB89egoA4,1,Twitter for iPhone,,,,
Barnes & Noble Vancouver,4221706181,"Vancouver, WA",1/22/2023 22:54,"It‚Äôs the Year of the Rabbit üêá May your #NewYear be bright. 

Happy Lunar New Year!

#barnesandnoble #lunarnewyear‚Ä?https://t.co/LPinKrvo12",0,Twitter for iPhone,,,
LilyG,1.33781E+18,"Portland, OR",1/22/2023 22:53,Had so much fun at the lunar new year parade! Apparently there hasn‚Äôt been a parade in 3 years!!!!,0,Twitter for iPhone,,,
George Pickens HOF Statue,128091929,"Portland, OR",1/22/2023 22:53,Congrats to the Buffalo Bills for being the new Rivers/Tomlinson-era Chargers. The team the NFL media hypes up as f‚Ä?https://t.co/Dr0TJXpR4q,0,Twitter for iPhone,,,
George Pickens HOF Statue,128091929,"Portland, OR",1/22/2023 22:49,@Teddy_20 They‚Äôre the new chargers‚Ä?the team the NFL media hypes up as being the most talented and favorites every‚Ä?https://t.co/v6EiFSqU32,0,Twitter for iPhone,,,
Dr. Vera Zu,1935756019,"Portland, OR",1/22/2023 22:46,not grasping the gravity of deadlines; not being able to rapidly reprioritize given new information; lack of adapta‚Ä?https://t.co/FEx6w0Nb8v,0,Twitter for iPhone,,,
Chanchai,37149496,"Portland OR, USA",1/22/2023 22:35,01/22 #VF5US training - Setups with Jeffry - Happy Lunar New Year live at https://t.co/h0ZXjfIeTi,1,PlayStation¬ÆNetwork,,,
BlackBettieCosplay ‚ú?Claudia with üî•Spiceüî•,6.97482E+17,"Portland, OR",1/22/2023 22:35,@TheCosplayBunny - they have to make X many cosplays a year or they aren‚Äôt a cosplayer. When just making one or wea‚Ä?https://t.co/VfbTaDJ39e,0,Twitter for iPhone,,,
oaktea ‚ú?1455931574,"Portland, OR",1/22/2023 22:19,"WIP‚Ä?happy year of the rabbit!! It‚Äôs Sailor moon üòçüíï

Working on Usagi for year of the rabbit üêá live now with a new‚Ä?https://t.co/3GfCyH8sGu",2,Twitter for iPhone,,,,
Huber's,40309141,"Portland, OR",1/22/2023 22:09,Come celebrate the new year with us by trying some of our new dinner items and specials! Reserve a table today!‚Ä?https://t.co/RHM1cOX4pD,0,Spot Hopper,,,
Tantrapa,18617894,"Portland, Oregon",1/22/2023 22:07,"Happy Lunar New Year! I wish you lots of love, health, and abundance! https://t.co/RiQZtZPPba",0,LinkedIn,,,
Don Augustson,297019827,"Portland, OR",1/22/2023 21:53,@KEVNDU Happy new year,0,Twitter for Android,,,
Murphüç•,220867065,"Portland, OR",1/22/2023 21:43,@the6footkid happy new year,0,Twitter for Android,,,
Cobra Kai Kompanion Podcast,1.00224E+18,"Portland, OR",1/22/2023 21:40,Happy Lunar New Year to our followers that celebrate it! I wish you good health and happiness in the upcoming year! https://t.co/PkN0J45uTQ,5,Twitter for iPhone,,,
Jazzy üçÇü´ñ,1373569866,"Portland, OR",1/22/2023 21:38,@kimchica25 I've been wanting to go there! Happy lunar new year!!,0,Twitter for Android,,,
KGW News,14185814,"Portland, Oregon",1/22/2023 21:21,"At least 10 dead and another 10 hospitalized in a mass shooting in Monterey Park, California on Saturday night, acc‚Ä?https://t.co/ksiqfaKHIQ",1,SocialNewsDesk,,,
number one dad jazz fan,16167428,Null Island,1/22/2023 21:19,Happy Lunar New Year!,0,Twitter for Android,,,
Jenny | Kimchica üåª,3237083244,"Portland, Oregon",1/22/2023 21:18,"ÏÉàÌï¥ Î≥?ÎßéÏù¥ Î∞õÏúºÏÑ∏Ïöî! Happy Lunar New Year! üê∞ 

Hanging with the fam later today and excited for the foooood ‚Ä?now? I‚Äôm rel‚Ä?https://t.co/ldPwNqOYyU",4,Twitter for iPhone,,,
NikuSenpai,267049829,Vancouver WA,1/22/2023 21:17,"Amber wants to celebrate Luna new year :D
(rip paimon in the back üòì) https://t.co/QYTeA7rmAI",167,Twitter Web App,,,
While,87090238,"Portland, OR",1/22/2023 21:04,Waking up for a new year. #YearOfTheRabbit https://t.co/5PLxevKRfe,0,Twitter for iPhone,,,
Patrick F. Herlihy,1.2571E+18,Portland,1/22/2023 21:02,Chinese pray for health in Lunar New Year as Covid death toll rises https://t.co/ezhegg17Ry #SmartNews,0,SmartNews | „Çπ„Éû„Éº„Éà„Éã„É•„Éº„Çπ,,,
Aubrey Serr,121483821,"Portland, OR",1/22/2023 20:46,"I finally saw a PS5 available for sale at the MSRP on a normal retail website. 3 Years after the console launched,‚Ä?https://t.co/SWTsRyFxO2",1,Twitter Web App,,,
Ingrid Harris,30863174,"Portland, Oregon",1/22/2023 20:44,Happy Lunar New Year!! üßßüèÆüéèü•Æüéâ,0,Twitter for iPhone,,,
MissMishPDX,1.2864E+18,"Portland, OR",1/22/2023 20:38,"May the Lunar New Year be pleasant and prosperous &amp; wishing you peace, happiness and luck in the new year. https://t.co/uNv9iDemE1",0,Instagram,,,
"Pete Lee ‚Ä?Vice Chair, Democratic Party of Oregon",7.80382E+17,"Portland, OR",1/22/2023 20:36,"@JewWhoHasItAll @JewWhoHasItAll: I was hoping you‚Äôd do an explainer for Lunar New Year! In other news, I am delight‚Ä?https://t.co/OKKc5qk9jE",0,Twitter for iPhone,,,
KyMo üå©,477311930,"Portland, Oregon",1/22/2023 20:31,Happy Lunar New Year üßßüéä,0,Twitter Web App,,,
Cameron H-B,8.03073E+17,"Portland, OR",1/22/2023 20:22,@HimeVT Thank you Hime! Happy Lunar New Year to you as well üòäüß°,0,Twitter for Android,,,
The Columbian,15079397,"Vancouver, Washington",1/22/2023 20:22,Gunman kills 10 near Lunar New Year festival in California - https://t.co/iW2jxmUZRs,0,Automate Posts from Columbian,,,
Joe Fustolo,32576280,"Lake Oswego, Oregon",1/22/2023 20:13,"Happy Chinese New Year! üèÆ

Hope this new year brings you good fortune, peace and prosperity. üôå

#chinese‚Ä?https://t.co/PkWEMUKfWW",0,Listings To Leads - Social,,,
Willamette Writers,25135342,"Portland, Oregon",1/22/2023 20:01,Willamette Writers welcomes the Year of the Rabbit! Happy Lunar Year! Learn more about Lunar New Year and ways to c‚Ä?https://t.co/IwHaPsX9NZ,0,Hootsuite Inc.,,,
Northwest Family Services,1.11096E+18,"Portland, OR",1/22/2023 20:01,"Open your windows to allow good luck to come inside, and light up the lanterns with new hopes and aspirations. Happ‚Ä?https://t.co/ywXpJbBjzL",0,Hootsuite Inc.,,,
AAA Oregon/Idaho,51113617,"Portland, Oregon",1/22/2023 20:00,Considering a new vehicle in the new year? Check out AAA Oregon/Idaho's reviews of the newest vehicles on the road‚Ä?https://t.co/Fq6vBAVQ4d,0,Khoros Publishing App,,,
Emery Foley Investment Management of LPL Financial,1.47626E+18,"Portland, OR 97211",1/22/2023 20:00,Happy Chinese New Year! We hope your 2023 will be a roaring success. https://t.co/vmTb5Ld6oJ,0,HubSpot,,,
Mayor Ted Wheeler,18708561,"Portland, OR",1/22/2023 19:52,The mass shooting in Monterey Park is absolutely devastating. I am mourning the lives lost and am keeping close com‚Ä?https://t.co/BaX1SRxSjb,7,Twitter for iPhone,,,
CryptoEnbyüè≥Ô∏è‚Äçüå?1524489681546530816,"Portland, OR",1/22/2023 19:43,Happy Lunar New Year!,0,Twitter Web App,,,,
Rational in Portland,1.42065E+18,"Portland, OR",1/22/2023 19:41,"‚ÄúOregon ranked the worst in the country for pain reliever misuse, with 4.56% of people reporting that they misused‚Ä?https://t.co/952WefQdc9",2,Twitter for iPhone,,,
George Hayduke Oliver,8.15745E+17,"Portland, OR",1/22/2023 19:40,It appears Rep from California drove those evil spirits south right into dance club for lunar New year. Shame on yo‚Ä?https://t.co/CVxiL4LrEc,0,Twitter for Android,,,
JulieMa,14239702,"Portland, OR",1/22/2023 19:38,"Happy #LunarNewYear2023 to everyone that celebrates. Wishing health, prosperity, and love for all. Here‚Äôs to a spar‚Ä?https://t.co/FZs6hrO2Si",0,Twitter for iPhone,,,
Nicky Reid,1.2436E+18,Happy Valley,1/22/2023 19:37,"Happy Chinese New Year!

Please feel free to blow some shit up, provided that it's unoccupied. Only pigs commit act‚Ä?https://t.co/1J7u8P9oIE",0,Twitter Web App,,,
Chelsea Wilkinson,2987620164,portland,1/22/2023 19:37,It‚Äôs unbelievably heartbreaking that the first thing I wake up to on Lunar New Year is to hear there‚Äôs been a mass‚Ä?https://t.co/OWQAj1T2y0,1,Twitter for iPhone,,,
City of Troutdale,517775901,"Troutdale, OR",1/22/2023 19:15,Happy Lunar New Year to all who celebrate! We wish you a prosperous Year of the Rabbit  üêá https://t.co/icXsZeB7IL,0,Twitter for iPhone,,,
Kevin Concepts,473593769,"Portland, OR",1/22/2023 19:11,Happy Lunar New Year üßß https://t.co/Rg6AM8Mqrv,2,Twitter for iPhone,,,
TheExchangePDX,1.03775E+18,"Portland, OR",1/22/2023 19:11,"May this Lunar New Year bring you happiness, wealth, and good fortune! 2023 is the year of the Rabbit. Success awai‚Ä?https://t.co/TyNsjhWKL8",1,Buffer,,,
Deborah Goldstein,1410772326,"Portland, OR",1/22/2023 19:00,@EFLyons Happy Chinese New Year!,0,Twitter for iPhone,,,
KATU News,17994536,"Portland, Oregon",1/22/2023 19:00,A gunman killed 10 people and wounded 10 others at a Los Angeles-area ballroom dance club following a Lunar New Yea‚Ä?https://t.co/Hnr5lkk7BB,1,TweetDeck,,,
Barnes & Noble Bridgeport Village,4229017643,"Tigard, OR",1/22/2023 19:00,Happy #LunarNewYear ! May the Year of the Rabbit bring you lots of new stories to read and discover üêá https://t.co/klGYLt8elt,0,Twitter Web App,,,
peter pansexual üíã,1.25024E+18,"Portland, OR",1/22/2023 18:58,"Straight from Papa Le‚Äôs mouth:
Happy lunar new year üßß of the cat üêà 

‚ú®Gong Xi Fa Cai‚ú?https://t.co/DJRtuoP5nf",0,Twitter for iPhone,,,
NAMC Oregon,9.91084E+17,"Portland, OR",1/22/2023 18:56,"May this new year bring you peace, joy, good health, prosperity, and many happy moments with your loved ones!‚Ä?https://t.co/gvS4YlQ6i8",0,Sprout Social,,,
Jamii Pae Consulting,1.32636E+18,"Vancouver, WA",1/22/2023 18:55,"Happy #LunarNewYear! Wishing you and your family good health, good luck, and much happiness throughout the New Year‚Ä?https://t.co/D2UJRH0Y3B",0,Twitter for iPhone,,,
Jenny | Kimchica üåª,3237083244,"Portland, Oregon",1/22/2023 18:54,@sonderingstudio y'all do amazing work!üíõ happy lunar new year!,0,Twitter Web App,,,
Paul Bae,14284323,PDX,1/22/2023 18:47,"@KyleStack We‚Äôre seeing a proper turnaround happen right before our eyes, just over the last 2-3 years. New manager‚Ä?https://t.co/gtpgvq4gZT",1,Twitter for iPhone,,,
monty mont√© monti,2751482176,"portland, oregon",1/22/2023 18:46,"@ocean_today made us a sweet alter for lunar new year featuring my mama and her tutu üéãüêáüçä
hope y‚Äôall get rich! https://t.co/OAqi5rnlmF",0,Twitter for iPhone,,,
ezdiquote,214989157,"Tualatin, OR",1/22/2023 18:46,"Happy #LunarNewYear ! While Westerners celebrate New Year‚Äôs on December 31st, many Asian cultures celebrate Lunar N‚Ä?https://t.co/8zhgu7IeOk",0,Twitter Web App,,,
