username,userid,profile_location,created_at,text,retweet_count,source,coordinates
KT,2225969900,"San Francisco, CA",1/23/2023 1:14,happy lunar new year &lt;333 https://t.co/gndiDkfRPo,0,Twitter for iPhone,
Chavapa The Bear (Commissions open 0/3),9.28388E+17,"San Francisco, CA",1/23/2023 1:13,It’s been awhile since I’ve drawn my fursona but I’ve redesigned myself for the new year! It’s not a huge redesign�?https://t.co/BahtAUZ0Th,0,Twitter for iPhone,
Evil Chick 🐀,1343551,San Francisco,1/23/2023 1:12,yo! cuteness alert: I just got this lunar new year award 🐰❤️‍�? I am loving everything bunny 🥰🐰. https://t.co/2wX14fWGqg,0,Twitter for iPad,
Mr.Suit.eth,1.36426E+18,"San Francisco, CA",1/23/2023 1:12,@TiffanyFong_ Oh hay me too! Happy Lunar New Year!,0,Twitter for iPhone,
Joel Engardio,26928597,San Francisco,1/23/2023 1:10,Happy Lunar New Year! Grateful to join the celebration in Chinatown with fellow supervisors and elected officials.�?https://t.co/AO88HLceEE,1,Twitter for iPhone,
Steve Riley☮️,314668690,Near San Francisco California,1/23/2023 1:00,@MMJShirley Wishing you a very Happy New Year! 😊😊,0,Twitter for iPhone,
ThinkPeopleCulture,1.3831E+18,"San Francisco, CA",1/23/2023 0:59,Happy Chinese New Year 2023! “Xīnnián hǎo�?(新年�? ▫️ ‘New Year Goodness�?or ‘Good New Year�?Wishing everyone abundan�?https://t.co/ACtmHzJzds,0,Twitter Web App,
YMCA of SanFrancisco,1023199279,"San Francisco, CA",1/23/2023 0:59,"Happy Lunar New Year! Now as an official California state holiday, comment below how you plan to celebrate welcomin�?https://t.co/MU4AoC4gk9",0,Agorapulse app,
Kenya Wheeler,15054904,"Huchian, BKY-OAK-RIC",1/23/2023 0:58,A horrible tragedy on the eve of Lunar New Year. My prayers and thoughts are with those in Monterey Park and the AA�?https://t.co/zzDCCa2xl0,0,Twitter for iPhone,
ForgeRock,92480061,"San Francisco, CA",1/23/2023 0:58,"The Lunar New Year, also known as Chinese New Year or Spring Festival, is the most important festival in China and�?https://t.co/L1Osg9UlgT",0,Sprout Social,
Chase Center,4836530927,"San Francisco, CA",1/23/2023 0:57,Stage is set for our Lunar New Year game https://t.co/XXwBX2C6Og,2,Twitter Web App,
Fer Loza,67181111,"San Francisco, CA ",1/23/2023 0:55,"To celebrate the Lunar New Year, multiple brands joined the festivity launching products featuring rabbit motifs.�?https://t.co/IsOm3mwwWv",0,Jetpack.com,
John Holmes,20706005,Ea$t Oakland,1/23/2023 0:54,@mmpadellan Assault weapons are banned. The Chinese New Year attack was not an assault rifle. Just a semi auto. We�?https://t.co/Va3Nr84DAz,0,Twitter for Android,
jenn,17837357,San Francisco,1/23/2023 0:53,Not done with making the dumplings yet but wanted to catch the light before it went away. Happy new year 🧧 https://t.co/pPk9Inu8T8,0,Twitter for iPhone,
Wokey_Dokey_ 🇺🇸❤️🇺🇦,1.45158E+18,"Oakland, CA",1/23/2023 0:52,Wait- did OAKLAND “increase security at local Lunar New Year events�? How exactly would Oakland do that?? https://t.co/RY5XV1b48q,0,Twitter for iPhone,
Taiwan in San Francisco,1.19485E+18,San Francisco,1/23/2023 0:51,"Happy Lunar New Year from all of us at TECO SF! Wishing you and your loved ones great health, prosperity, and succe�?https://t.co/LqHLuPVYKX",1,Twitter Web App,
AP,2546297919,"Oakland, CA",1/23/2023 0:50,Lunar New Year 2023🧧 https://t.co/ThPS389HXm,5,Twitter for iPhone,
Mrs. Gong,1.31537E+18,"San Francisco, CA",1/23/2023 0:50,@Starry_Utopia @jean_yoon Definitely the right way to start the new year hanging with Gong Yoo...😍,0,Twitter Web App,
Yonca Bulut M.D.,1964846970,"Los Angeles, CA",1/23/2023 0:42,@fesraoz Year of the rabbit 🐇 Lunar new year 🧧,0,Twitter for iPhone,
